Québec, province d'origine (3);Nouveau-Brunswick, province de destination (3);v32211618;5.4;357;509;493;170
Québec, province d'origine (3);Ontario, province de destination (3);v32211619;5.6;3007;6980;6407;4447
Québec, province d'origine (3);Manitoba, province de destination (3);v32211620;5.7;128;176;188;129
Québec, province d'origine (3);Saskatchewan, province de destination (3);v32211621;5.8;68;245;132;80
Québec, province d'origine (3);Alberta, province de destination (3);v32211622;5.9;1387;2114;2262;1549
Québec, province d'origine (3);Colombie-Britannique, province de destination (3);v32211623;5.10;474;1181;829;447
Québec, province d'origine (3);Yukon, province de destination (3);v32211624;5.11;24;27;20;27
Québec, province d'origine (3);Territoires du Nord-Ouest, province de destination (6);v32211626;5.13;6;17;6;0
Québec, province d'origine (3);Nunavut, province de destination (6);v32211627;5.14;46;80;73;51
Ontario, province d'origine (3);Terre-Neuve-et-Labrador, province de destination (3);v32211628;6.1;747;856;623;403
Ontario, province d'origine (3);Île-du-Prince-Édouard, province de destination (3);v32211629;6.2;321;431;164;138
Ontario, province d'origine (3);Nouvelle-Écosse, province de destination (3);v32211630;6.3;1196;1707;1299;973
Ontario, province d'origine (3);Nouveau-Brunswick, province de destination (3);v32211631;6.4;675;1105;758;602
Ontario, province d'origine (3);Québec, province de destination (3);v32211632;6.5;3525;4702;3934;2532
Ontario, province d'origine (3);Manitoba, province de destination (3);v32211633;6.7;1026;1318;1137;740
Ontario, province d'origine (3);Saskatchewan, province de destination (3);v32211634;6.8;783;1737;1006;618
Ontario, province d'origine (3);Alberta, province de destination (3);v32211635;6.9;9027;10748;9043;5789
Ontario, province d'origine (3);Colombie-Britannique, province de destination (3);v32211636;6.10;2719;4652;3447;2089
Ontario, province d'origine (3);Yukon, province de destination (3);v32211637;6.11;75;97;22;40
Ontario, province d'origine (3);Territoires du Nord-Ouest, province de destination (6);v32211639;6.13;185;136;84;0
Ontario, province d'origine (3);Nunavut, province de destination (6);v32211640;6.14;86;220;53;0
Manitoba, province d'origine (3);Terre-Neuve-et-Labrador, province de destination (3);v32211641;7.1;73;25;130;5
Manitoba, province d'origine (3);Île-du-Prince-Édouard, province de destination (3);v32211642;7.2;25;5;15;0
Manitoba, province d'origine (3);Nouvelle-Écosse, province de destination (3);v32211643;7.3;75;65;73;56
Manitoba, province d'origine (3);Nouveau-Brunswick, province de destination (3);v32211644;7.4;72;107;22;25
Manitoba, province d'origine (3);Québec, province de destination (3);v32211645;7.5;88;239;165;113
Manitoba, province d'origine (3);Ontario, province de destination (3);v32211646;7.6;1112;1430;1377;729
Manitoba, province d'origine (3);Saskatchewan, province de destination (3);v32211647;7.8;595;965;512;531
Manitoba, province d'origine (3);Alberta, province de destination (3);v32211648;7.9;1558;2017;1803;1011
Manitoba, province d'origine (3);Colombie-Britannique, province de destination (3);v32211649;7.10;621;887;810;617
Manitoba, province d'origine (3);Yukon, province de destination (3);v32211650;7.11;0;4;0;0
Manitoba, province d'origine (3);Territoires du Nord-Ouest, province de destination (6);v32211652;7.13;5;29;20;0
Manitoba, province d'origine (3);Nunavut, province de destination (6);v32211653;7.14;14;51;25;19
Saskatchewan, province d'origine (3);Terre-Neuve-et-Labrador, province de destination (3);v32211654;8.1;4;8;39;17
Saskatchewan, province d'origine (3);Île-du-Prince-Édouard, province de destination (3);v32211655;8.2;0;64;0;0
Saskatchewan, province d'origine (3);Nouvelle-Écosse, province de destination (3);v32211656;8.3;53;88;70;45
Saskatchewan, province d'origine (3);Nouveau-Brunswick, province de destination (3);v32211657;8.4;68;24;3;44
Saskatchewan, province d'origine (3);Québec, province de destination (3);v32211658;8.5;36;163;62;94
Saskatchewan, province d'origine (3);Ontario, province de destination (3);v32211659;8.6;683;954;1049;707
